Date       ,Open,High,Low,Close ,Adj Close ,Volume
 04-11-2024 ,"3,246.98","3,336.83","3,123.00","3,284.97","3,284.97","48,320,204,800"
 02-11-2024 ,"3,375.15","3,444.15","3,211.20","3,246.26","3,246.26","56,686,078,066"
 01-11-2024 ,"3,191.66","3,389.53","3,109.77","3,374.81","3,374.81","55,417,771,668"
 31-10-2024 ,"3,130.73","3,249.91","3,073.25","3,191.33","3,191.33","47,418,730,187"
 30-10-2024 ,"2,962.79","3,156.37","2,957.18","3,131.14","3,131.14","29,210,133,088"
 29-10-2024 ,"2,895.60","2,983.74","2,889.48","2,962.30","2,962.30","32,303,261,101"
 28-10-2024 ,"2,724.01","2,918.74","2,701.59","2,895.59","2,895.59","35,352,318,438"
 27-10-2024 ,"2,422.54","2,743.96","2,421.81","2,724.17","2,724.17","41,887,574,364"
 26-10-2024 ,"2,397.04","2,478.62","2,380.60","2,422.65","2,422.65","17,894,057,485"
 25-10-2024 ,"2,456.10","2,488.35","2,359.58","2,397.03","2,397.03","17,110,200,696"
 24-10-2024 ,"2,491.09","2,495.44","2,411.40","2,456.43","2,456.43","15,667,779,706"
 23-10-2024 ,"2,512.21","2,522.36","2,471.96","2,491.07","2,491.07","9,639,457,439"
 22-10-2024 ,"2,515.87","2,583.78","2,467.82","2,511.89","2,511.89","20,215,438,328"
 21-10-2024 ,"2,657.21","2,667.56","2,501.57","2,515.80","2,515.80","19,760,409,505"
 20-10-2024 ,"2,637.64","2,720.27","2,600.61","2,657.37","2,657.37","22,382,690,746"
 19-10-2024 ,"2,565.42","2,680.05","2,560.15","2,637.96","2,637.96","22,185,845,095"
 18-10-2024 ,"2,505.59","2,587.43","2,470.27","2,565.35","2,565.35","18,971,841,402"
 17-10-2024 ,"2,479.94","2,523.17","2,462.27","2,505.94","2,505.94","9,801,434,566"
 16-10-2024 ,"2,436.05","2,503.23","2,427.46","2,479.60","2,479.60","13,597,102,184"
 15-10-2024 ,"2,534.45","2,563.73","2,381.45","2,435.93","2,435.93","22,560,233,078"
 14-10-2024 ,"2,523.61","2,559.15","2,506.72","2,534.50","2,534.50","16,128,627,601"
 13-10-2024 ,"2,620.09","2,624.45","2,457.17","2,509.10","2,509.10","17,876,984,551"
 12-10-2024 ,"2,665.66","2,669.79","2,605.62","2,620.20","2,620.20","15,541,911,074"
 11-10-2024 ,"2,746.31","2,765.55","2,655.29","2,665.71","2,665.71","17,328,615,363"
 10-10-2024 ,"2,648.67","2,756.44","2,635.95","2,746.36","2,746.36","14,559,296,242"
 09-10-2024 ,"2,641.49","2,661.87","2,631.66","2,648.66","2,648.66","8,557,834,553"
 08-10-2024 ,"2,604.81","2,674.37","2,595.96","2,641.55","2,641.55","17,043,738,652"
 07-10-2024 ,"2,611.19","2,646.87","2,577.31","2,604.27","2,604.27","15,150,712,321"
 06-10-2024 ,"2,606.02","2,644.85","2,589.61","2,611.10","2,611.10","17,012,396,419"
 05-10-2024 ,"2,629.02","2,685.17","2,537.94","2,606.02","2,606.02","22,003,780,898"
 04-10-2024 ,"2,467.65","2,652.88","2,443.55","2,628.90","2,628.90","21,434,687,898"
 03-10-2024 ,"2,476.52","2,484.13","2,436.97","2,467.68","2,467.68","9,189,490,605"
 02-10-2024 ,"2,436.52","2,488.24","2,434.20","2,476.52","2,476.52","9,372,169,184"
 01-10-2024 ,"2,383.94","2,470.40","2,380.50","2,436.51","2,436.51","13,489,061,564"
 30-09-2024 ,"2,368.27","2,417.29","2,329.78","2,383.86","2,383.86","15,327,769,940"
 29-09-2024 ,"2,439.84","2,470.91","2,350.95","2,368.28","2,368.28","14,954,047,093"
 28-09-2024 ,"2,421.98","2,464.13","2,400.51","2,439.84","2,439.84","14,067,361,080"
 27-09-2024 ,"2,439.94","2,520.41","2,405.13","2,421.80","2,421.80","17,414,044,416"
 26-09-2024 ,"2,415.53","2,456.63","2,407.10","2,439.96","2,439.96","8,458,690,205"
 25-09-2024 ,"2,414.85","2,427.52","2,390.84","2,415.63","2,415.63","8,152,969,183"
 24-09-2024 ,"2,349.73","2,440.24","2,339.87","2,414.79","2,414.79","14,879,264,082"
 23-09-2024 ,"2,365.21","2,402.86","2,311.03","2,349.79","2,349.79","18,051,447,791"
 22-09-2024 ,"2,448.88","2,498.12","2,354.54","2,365.23","2,365.23","20,148,256,472"
 21-09-2024 ,"2,603.26","2,657.62","2,415.08","2,448.92","2,448.92","25,482,371,785"
 20-09-2024 ,"2,659.29","2,662.49","2,576.98","2,603.06","2,603.06","17,826,446,789"
 19-09-2024 ,"2,677.63","2,683.45","2,635.58","2,659.35","2,659.35","11,126,215,671"
 18-09-2024 ,"2,695.82","2,704.93","2,652.25","2,677.54","2,677.54","10,252,590,559"
 17-09-2024 ,"2,632.24","2,728.07","2,616.95","2,695.90","2,695.90","17,023,020,294"
 16-09-2024 ,"2,579.22","2,665.99","2,559.95","2,632.20","2,632.20","17,336,033,595"
 15-09-2024 ,"2,654.36","2,672.46","2,557.72","2,579.39","2,579.39","14,119,729,962"
 14-09-2024 ,"2,648.48","2,671.28","2,593.15","2,654.35","2,654.35","16,658,812,503"
 13-09-2024 ,"2,582.77","2,701.68","2,541.91","2,648.55","2,648.55","19,912,841,456"
 12-09-2024 ,"2,615.85","2,632.04","2,528.52","2,582.86","2,582.86","13,180,663,011"
 11-09-2024 ,"2,560.88","2,621.62","2,530.84","2,615.86","2,615.86","10,797,825,021"
 10-09-2024 ,"2,464.78","2,571.99","2,439.38","2,561.07","2,561.07","19,112,788,620"
 09-09-2024 ,"2,369.37","2,492.20","2,369.37","2,464.75","2,464.75","18,437,147,349"
 08-09-2024 ,"2,341.73","2,369.73","2,278.66","2,369.73","2,369.73","18,159,056,422"
 07-09-2024 ,"2,295.28","2,392.15","2,263.79","2,341.71","2,341.71","15,356,783,863"
 06-09-2024 ,"2,320.89","2,334.79","2,253.72","2,295.28","2,295.28","16,819,033,263"
 05-09-2024 ,"2,418.27","2,430.38","2,286.63","2,320.90","2,320.90","10,155,470,375"
 04-09-2024 ,"2,441.58","2,442.63","2,386.98","2,418.60","2,418.60","8,170,291,680"
 03-09-2024 ,"2,361.74","2,462.80","2,338.14","2,441.61","2,441.61","13,759,640,866"
 02-09-2024 ,"2,339.84","2,390.19","2,316.16","2,361.78","2,361.78","12,162,634,681"
 01-09-2024 ,"2,389.60","2,389.72","2,279.05","2,339.84","2,339.84","15,355,180,967"
 31-08-2024 ,"2,358.50","2,398.50","2,323.07","2,389.58","2,389.58","12,795,818,970"
 30-08-2024 ,"2,297.90","2,379.79","2,274.12","2,358.48","2,358.48","15,887,712,451"
 29-08-2024 ,"2,274.44","2,332.36","2,243.91","2,297.29","2,297.29","10,718,443,487"
