Date       ,Open,High,Low,Close ,Adj Close ,Volume
 04-11-2024 ,"68,746.79","69,258.82","68,261.34","69,182.10","69,182.10","33,596,792,832"
 02-11-2024 ,"69,486.02","69,867.35","69,033.72","69,289.27","69,289.27","18,184,612,091"
 01-11-2024 ,"70,216.90","71,559.02","68,779.70","69,482.47","69,482.47","49,989,795,365"
 31-10-2024 ,"72,335.05","72,662.31","69,590.50","70,215.19","70,215.19","40,627,912,076"
 30-10-2024 ,"72,715.37","72,905.30","71,411.73","72,339.54","72,339.54","40,646,637,831"
 29-10-2024 ,"69,910.05","73,577.21","69,729.91","72,720.49","72,720.49","58,541,874,402"
 28-10-2024 ,"67,922.67","70,212.27","67,535.13","69,907.76","69,907.76","38,799,856,657"
 27-10-2024 ,"67,023.48","68,221.31","66,847.23","67,929.30","67,929.30","16,721,307,878"
 26-10-2024 ,"66,628.73","67,317.92","66,360.59","67,014.70","67,014.70","19,588,098,156"
 25-10-2024 ,"68,165.30","68,722.16","65,521.79","66,642.41","66,642.41","41,469,984,306"
 24-10-2024 ,"66,653.70","68,798.96","66,454.10","68,161.05","68,161.05","31,414,428,647"
 23-10-2024 ,"67,362.38","67,402.74","65,188.04","66,432.20","66,432.20","32,263,980,353"
 22-10-2024 ,"67,360.70","67,801.58","66,581.37","67,361.41","67,361.41","31,808,472,566"
 21-10-2024 ,"69,002.00","69,462.73","66,829.85","67,367.85","67,367.85","37,498,611,780"
 20-10-2024 ,"68,364.18","69,359.01","68,105.72","69,001.70","69,001.70","18,975,847,518"
 19-10-2024 ,"68,418.98","68,668.01","68,024.64","68,362.73","68,362.73","14,443,497,908"
 18-10-2024 ,"67,419.11","68,969.75","67,177.82","68,418.79","68,418.79","36,857,165,014"
 17-10-2024 ,"67,617.08","67,912.21","66,647.39","67,399.84","67,399.84","32,790,898,511"
 16-10-2024 ,"67,042.46","68,375.29","66,758.73","67,612.72","67,612.72","38,195,189,534"
 15-10-2024 ,"66,050.37","67,881.68","64,809.20","67,041.11","67,041.11","48,863,870,879"
 14-10-2024 ,"62,848.40","66,482.49","62,442.15","66,046.13","66,046.13","43,706,958,056"
 13-10-2024 ,"63,192.95","63,272.65","62,035.64","62,851.38","62,851.38","18,177,529,690"
 12-10-2024 ,"62,444.62","63,448.79","62,443.27","63,193.02","63,193.02","16,744,110,886"
